daisuke	適当プラチナです	DaisukeRiL	ダイヤ
ofly	クラマスやってます。Noobです。	ofly77	マスター
たくたく	ジブラルタル愛好家(*´-`)	Takup_qx2	マスター
Yuune	クランのサブマスやってます！IGL出来ます！	yuunesgaming	マスター
MashTer	射撃場の鉄板1v1は自信あります。	give_me_audio	マスター
ぷっちー	YouTubeをやっていてAPEXの動画など出しています！	Pucchii_Sabu	ダイヤ
社員	アラサー社畜妻子猫持ちです。クリプトのドローンでアシストすることが僕の使命です。	ViazPro	マスター
そんなに好きなわけでもないが、名前はあんこです	特上カルビも上カルビも違いわかんなくね？ 関係ないけどシロクマに右利きの個体はいないらしい	SIRO_Anko903	マスター
A1exa	あいあむぱっどえいまー！！	A1exapex_o	マスター
Rethfinder	無限にランクマしてます。ｱﾋﾞｬ〜	rethfinder	プレデター
あいる	フラトラしか勝たん❕ ワト練習中👶🏻🍼⚡	Winter_Cocktail	ダイヤ
Pekkon	のんびり アリーナ踏みデターデス	Peko56769	プレデター
もちもちオクタン	爆速系おもちです。時々キル集出してます。 https://nico.ms/sm39809658 音声合成ソフトを使った動画を好みます。	Octavio_Lover	マスター
りるぽん	クランでは適当に話してます！3垢マスターやらせてもらってます！	Rirupooooon	マスター
てふ	PCPADプレイヤー シーズン11スプリット1マスター 原神たのしいです	Tefu_APEX	マスター


